developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
Square Enix,Fantasy,"Apr 14, 2014",God is a Geek,80,86,Final Fantasy XIV Online: A Realm Reborn,7.3
TianShe Media,Adventure,"Oct 27, 2016",Digitally Downloaded,50,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",GameSpew,40,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",Gameblog.fr,40,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",PSNStores,40,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",GameCritics,40,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",DarkZero,40,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",PlayStation LifeStyle,40,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",PlayStation Universe,40,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",COGconnected,30,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",God is a Geek,30,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",ZTGD,30,32,Weeping Doll,2.7
TianShe Media,Adventure,"Oct 27, 2016",Push Square,30,32,Weeping Doll,2.7
different cloth,Racing,"Dec 13, 2016",PlayStation LifeStyle,80,59,Drive!Drive!Drive!,5.0
different cloth,Racing,"Dec 13, 2016",DualShockers,75,59,Drive!Drive!Drive!,5.0
different cloth,Racing,"Dec 13, 2016",3DJuegos,65,59,Drive!Drive!Drive!,5.0
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",Twinfinite,100,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",Gaming Nexus,80,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",IGN Denmark,80,69,Fallout 4: Automatron,6.4
Bethesda Game Studios,Role-Playing,"Mar 22, 2016",Game Rant,80,69,Fallout 4: Automatron,6.4
