note,developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
95,Heavy Spectrum,Sci-Fi,17-May-16,Gaming Nexus,70,64,Shadow of the Beast,7.3
96,Heavy Spectrum,Sci-Fi,17-May-16,Push Square,70,64,Shadow of the Beast,7.3
97,Heavy Spectrum,Sci-Fi,17-May-16,CGMagazine,66,64,Shadow of the Beast,7.3
98,Heavy Spectrum,Sci-Fi,17-May-16,3DJuegos,65,64,Shadow of the Beast,7.3
99,Heavy Spectrum,Sci-Fi,17-May-16,JeuxActu,65,64,Shadow of the Beast,7.3
100,Heavy Spectrum,Sci-Fi,17-May-16,Everyeye.it,65,64,Shadow of the Beast,7.3
101,Heavy Spectrum,Sci-Fi,17-May-16,Eurogamer Poland,63,64,Shadow of the Beast,7.3
102,Heavy Spectrum,Sci-Fi,17-May-16,Examiner,60,64,Shadow of the Beast,7.3
103,Heavy Spectrum,Sci-Fi,17-May-16,Digitally Downloaded,60,64,Shadow of the Beast,7.3
104,Heavy Spectrum,Sci-Fi,17-May-16,Digital Spy,60,64,Shadow of the Beast,7.3
105,Heavy Spectrum,Sci-Fi,17-May-16,Attack of the Fanboy,60,64,Shadow of the Beast,7.3
106,Heavy Spectrum,Sci-Fi,17-May-16,VideoGamer,60,64,Shadow of the Beast,7.3
107,Heavy Spectrum,Sci-Fi,17-May-16,Gaming Age,60,64,Shadow of the Beast,7.3
108,Heavy Spectrum,Sci-Fi,17-May-16,InsideGamer.nl,58,64,Shadow of the Beast,7.3
109,Heavy Spectrum,Sci-Fi,17-May-16,4Players.de,57,64,Shadow of the Beast,7.3
110,Heavy Spectrum,Sci-Fi,17-May-16,Gameplanet,55,64,Shadow of the Beast,7.3
111,Heavy Spectrum,Sci-Fi,17-May-16,GameSpot,54,64,Shadow of the Beast,7.3
112,Heavy Spectrum,Sci-Fi,17-May-16,Gamer.no,50,64,Shadow of the Beast,7.3
113,Heavy Spectrum,Sci-Fi,17-May-16,Gamer.nl,50,64,Shadow of the Beast,7.3
114,Heavy Spectrum,Sci-Fi,17-May-16,Critical Hit,50,64,Shadow of the Beast,7.3
115,Square Enix,Fantasy,14-Apr-14,Gameplanet,95,86,Final Fantasy XIV Online: A Realm Reborn,7.3
116,Square Enix,Fantasy,14-Apr-14,PlayStation Universe,95,86,Final Fantasy XIV Online: A Realm Reborn,7.3
117,Square Enix,Fantasy,14-Apr-14,LaPS4,95,86,Final Fantasy XIV Online: A Realm Reborn,7.3
118,Square Enix,Fantasy,14-Apr-14,Vandal,95,86,Final Fantasy XIV Online: A Realm Reborn,7.3
119,Square Enix,Fantasy,14-Apr-14,The Digital Fix,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
120,Square Enix,Fantasy,14-Apr-14,Hardcore Gamer,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
121,Square Enix,Fantasy,14-Apr-14,Destructoid,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
122,Square Enix,Fantasy,14-Apr-14,NZGamer,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
123,Square Enix,Fantasy,14-Apr-14,RPG Fan,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
124,Square Enix,Fantasy,14-Apr-14,Eurogamer Italy,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
125,Square Enix,Fantasy,14-Apr-14,Post Arcade (National Post),90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
126,Square Enix,Fantasy,14-Apr-14,DarkStation,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
127,Square Enix,Fantasy,14-Apr-14,Digitally Downloaded,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
128,Square Enix,Fantasy,14-Apr-14,Multiplayer.it,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
129,Square Enix,Fantasy,14-Apr-14,Push Square,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
130,Square Enix,Fantasy,14-Apr-14,SpazioGames,90,86,Final Fantasy XIV Online: A Realm Reborn,7.3
131,Square Enix,Fantasy,14-Apr-14,Critical Hit,86,86,Final Fantasy XIV Online: A Realm Reborn,7.3
132,Square Enix,Fantasy,14-Apr-14,XGN,85,86,Final Fantasy XIV Online: A Realm Reborn,7.3
133,Square Enix,Fantasy,14-Apr-14,LevelUp,85,86,Final Fantasy XIV Online: A Realm Reborn,7.3
134,Square Enix,Fantasy,14-Apr-14,Everyeye.it,85,86,Final Fantasy XIV Online: A Realm Reborn,7.3
135,Square Enix,Fantasy,14-Apr-14,4Players.de,85,86,Final Fantasy XIV Online: A Realm Reborn,7.3
136,Square Enix,Fantasy,14-Apr-14,IGN Italia,85,86,Final Fantasy XIV Online: A Realm Reborn,7.3
137,Square Enix,Fantasy,14-Apr-14,D+PAD Magazine,85,86,Final Fantasy XIV Online: A Realm Reborn,7.3
138,Square Enix,Fantasy,14-Apr-14,Eurogamer Portugal,84,86,Final Fantasy XIV Online: A Realm Reborn,7.3
139,Square Enix,Fantasy,14-Apr-14,DarkZero,83,86,Final Fantasy XIV Online: A Realm Reborn,7.3
140,Square Enix,Fantasy,14-Apr-14,GameSpot,83,86,Final Fantasy XIV Online: A Realm Reborn,7.3
141,Square Enix,Fantasy,14-Apr-14,God is a Geek,80,86,Final Fantasy XIV Online: A Realm Reborn,7.3
142,TianShe Media,Adventure,27-Oct-16,Digitally Downloaded,50,32,Weeping Doll,2.7
