developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
Bungie,Action,6-Sep-17,JeuxActu,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,SpazioGames,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,IGN Italia,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Multiplayer.it,83,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,GameSpew,83,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,DarkStation,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Vgames,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Softpedia,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,USgamer,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,PlayGround.ru,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Giant Bomb,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Easy Allies,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,New York Daily News,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,RPG Site,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,The Daily Dot,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,GameSpot,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,VideoGamer,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,GRYOnline.pl,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Metro GameCentral,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,EGM,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Washington Post,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Areajugones,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Guardian,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,TheSixthAxis,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Push Square,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,The Jimquisition,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Digital Trends,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Worth Playing,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Gameblog.fr,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,M3,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Slant Magazine,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,New Game Network,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Destructoid,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,PLAY! Zine,80,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Shacknews,79,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,The Digital Fix,75,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Gamer.no,70,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Hardcore Gamer,70,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,GameCritics,70,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,4Players.de,70,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Ars Technica,70,85,Destiny 2,4.9
Konami,Sports,13-Sep-16,God is a Geek,100,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,IGN,95,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,PlayStation Universe,95,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Game Informer,93,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,IGN Italia,92,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,VideoGamer,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,GameOver.gr,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,The Digital Fix,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Impulsegamer,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,CGMagazine,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,GRYOnline.pl,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,IGN Denmark,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Push Square,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Eurogamer Poland,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,PSX-Sense.nl,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,GameSpew,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,PlayStation Country,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Sporting News,90,85,Pro Evolution Soccer 2017,7.3
Konami,Sports,13-Sep-16,Digital Spy,90,85,Pro Evolution Soccer 2017,7.3
